instance_id,mode,step,epoch,Dice,loss,epoch_time,since_best_Dice,max_Dice,steps/sec
t71,eval,45,9,0.786268811810235,,,,,
t24,eval,45,9,0.7907590066324564,,,,,
t30,eval,45,9,0.7950485024723127,,,,,
t78,eval,45,9,0.8041831534855904,,,,,
t73,eval,45,9,0.7586617301813587,,,,,
t40,eval,45,9,0.8321310392927042,,,,,
t133,eval,45,9,0.7951859188273006,,,,,
,train,1,1,,0.5706742,,,,
,train,5,1,,,308.62 sec,,,
,eval,5,1,1.5752506333925568e-13,0.5005496,,0,1.5752506333925568e-13,
,train,10,2,,,372.63 sec,,,
,eval,10,2,3.656605232586832e-05,0.4493453,,0,3.656605232586832e-05,
,train,15,3,,,283.15 sec,,,
,eval,15,3,0.20865482824328963,0.36753187,,0,0.20865482824328963,
,train,20,4,,0.34036958,,,,0.02
,train,20,4,,,326.53 sec,,,
,eval,20,4,0.006994403939167451,0.44852144,,1,0.20865482824328963,
,train,25,5,,,332.08 sec,,,
,eval,25,5,0.5492380578626805,0.31359425,,0,0.5492380578626805,
,train,30,6,,,308.06 sec,,,
,eval,30,6,0.7262515514731506,0.28747067,,0,0.7262515514731506,
,train,35,7,,,284.25 sec,,,
,eval,35,7,0.6867916094273919,0.28044775,,1,0.7262515514731506,
,train,40,8,,0.19507685,,,,0.02
,train,40,8,,,302.63 sec,,,
,eval,40,8,0.7068731684440064,0.26289734,,2,0.7262515514731506,
,train,45,9,,,292.36 sec,,,
,eval,45,9,0.7739189280512089,0.2272278,,0,0.7739189280512089,
